lat,long
37.60132,-120.31713
38.53991,-121.44134
37.17127,-121.61938
36.31578,-119.70846
33.58697,-117.90089
37.37383,-119.93545
37.93381,-122.04718
37.64104,-120.99243
39.41239,-121.71275
34.15168,-117.35588
33.99251,-117.49477
34.0339,-118.20535
37.30133,-119.72599
35.16913,-118.4762
39.64239,-121.27176
35.14303,-120.63795
39.99678,-121.35977
34.7222,-118.79843
38.22964,-120.73632
37.59855,-119.23652
34.01223,-117.68894
38.56324,-121.35773
38.3388,-119.97602
39.61988,-122.59611
38.19075,-121.08828
39.1774,-120.97578
34.00057,-118.15979
38.18221,-119.5671
38.49241,-121.17495
38.05242,-122.21302
39.69158,-120.67524
33.41642,-116.9153
34.20473,-119.16261
36.55744,-118.2912
35.50412,-119.17261
38.17797,-122.44553
36.83105,-117.17451
36.81342,-118.41211
38.02187,-121.24134
37.31078,-119.58264
34.50805,-119.96097
33.9689,-118.2823
36.33855,-118.59981
33.81536,-118.01012
37.14132,-118.56622
36.41384,-119.13483
36.89995,-121.45133
38.15159,-122.27247
34.11028,-118.61259
36.49717,-116.70088
36.20689,-117.76007
36.71995,-120.20988
33.73863,-116.53779
39.29962,-123.71168
36.46967,-118.91843
33.79474,-116.6039
34.99442,-117.58589
37.11011,-119.88512
32.77672,-116.72863
38.0027,-121.25022
37.8227,-121.27661
32.75477,-117.02808
37.96242,-122.3033
38.2063,-121.93718
35.45023,-118.3498
38.67935,-121.9683
36.02273,-118.9951
37.38022,-122.11052
39.21657,-120.75771
33.86113,-114.80219
36.47274,-121.72495
38.44213,-119.86601
37.98937,-121.75051
34.06528,-118.78509
34.17139,-117.99368
34.28751,-117.12643
33.9189,-118.17396
37.66493,-121.80412
34.2625,-118.42703
39.93487,-123.7353
37.92576,-122.73693
33.0231,-114.61107
38.63713,-120.12658
36.77718,-121.30688
35.74969,-121.31521
34.47332,-120.14126
36.30523,-119.24289
37.4641,-121.77662
34.20112,-118.53647
33.5253,-114.65607
38.87018,-121.70635
38.83895,-120.13135
36.97023,-121.95524
37.30577,-118.94845
37.94131,-122.05274
34.22695,-117.39838
33.61225,-114.99552
35.66497,-120.37182
36.51746,-121.95107
34.4075,-118.82787
38.16325,-119.66101
35.97302,-116.27114
38.34519,-119.96907
38.08353,-121.71523
35.54885,-117.45144
39.87654,-123.44391
38.01187,-120.46353
35.02525,-118.74648
33.49364,-117.14836
34.76193,-120.29377
36.58663,-121.92134
33.7978,-118.22118
34.16945,-117.3256
36.09578,-117.11005
34.02362,-117.95145
34.67544,-118.44639
34.09751,-117.64839
38.49436,-123.00694
38.64907,-121.60218
36.13856,-119.50957
36.8255,-119.89043
39.13545,-121.72608
34.41027,-118.44064
37.26521,-118.7065
41.00294,-121.89138
41.21155,-121.37443
41.4582,-122.43168
36.4805,-119.01788
41.31293,-122.27695
41.58905,-121.31415
40.48628,-121.00552
37.90743,-118.70596
41.9834,-120.23095
37.00494,-118.88344
36.21956,-120.45911
41.07374,-123.98173
41.05929,-124.14312
34.33606,-118.3355
34.33222,-118.33369
37.0505,-119.73237
39.73349,-123.3739
39.44517,-120.82439
35.18275,-120.80157
38.82546,-120.84688
39.02018,-123.69113
39.90876,-122.93862
38.64518,-120.5452
39.02074,-123.68002
38.39991,-120.96827
35.23775,-120.78045
37.97659,-121.218
33.22976,-117.31615
36.56856,-119.42346
38.97323,-122.46776
36.09162,-120.39932
35.71663,-120.20515
37.35438,-121.55967
39.71711,-121.38024
35.54886,-120.79323
38.53741,-121.45607
39.58322,-121.15635
39.00934,-120.75021
34.08366,-118.35515
37.99742,-120.47575
37.283,-118.96206
37.49689,-119.32735
36.09411,-118.22758
37.72882,-120.02407
35.26192,-116.68892
36.13772,-118.20869
39.57377,-122.70222
38.17464,-121.27856
36.55356,-119.04761
39.3774,-120.64494
36.56966,-117.96314
38.77435,-122.68888
36.98106,-121.8744
34.37194,-119.34678
34.93667,-114.86386
33.75724,-118.13701
35.68914,-120.53961
34.24612,-117.20976
33.7653,-117.25782
39.28905,-122.88777
32.682,-116.7528
38.71879,-120.47659
38.15797,-122.56526
36.24361,-118.74317
39.2113,-120.08158
35.35441,-117.89729
39.03795,-122.42887
36.82745,-121.21965
39.07878,-121.15717
37.85659,-120.94605
34.19417,-119.1865
37.77215,-118.48401
32.5995,-116.9728
36.52107,-121.95079
39.00874,-120.25094
37.45609,-119.04207
39.47768,-120.59605
37.99215,-122.77638
37.99048,-122.35719
36.25549,-117.99397
37.6741,-119.41932
33.24226,-117.27059
39.71238,-123.80308
39.02156,-123.13
37.24022,-120.39741
39.14517,-121.86775
35.05886,-119.40095
38.95435,-120.52603
37.70743,-121.0041
34.8461,-116.77698
34.96525,-117.67839
38.13742,-120.45964
39.15184,-123.54196
37.2981,-118.90721
38.09103,-121.68773
36.72857,-121.27854
34.02279,-118.40563
35.94996,-120.00375
34.13584,-117.22393
33.52531,-117.03919
38.18853,-121.24411
35.30358,-120.37655
37.21717,-119.90544
38.74881,-121.478
34.06001,-117.68478
36.27134,-119.36817
36.02357,-120.08264
39.52435,-120.01326
34.05084,-118.47925
39.83517,-120.78495
33.99098,-118.3001
38.97823,-121.6258
41.37044,-121.07025
41.62793,-122.23251
41.93319,-122.54058
41.47404,-122.31446
40.69932,-122.03167
41.19933,-121.68888
40.11766,-122.19444
40.59627,-121.93555
40.60927,-123.6467
40.69684,-120.49106
41.83402,-122.83948
34.0918,-118.3813
34.1684,-118.6024
37.7978,-122.4072
33.81266,-117.91654
37.66889,-121.7075
34.03417,-118.34972
37.63833,-122.40083
33.98335,-118.25313
38.68713,-121.7933
38.83213,-120.05963
35.31943,-120.17023
35.27579,-118.47564
39.18434,-120.71438
39.44573,-120.99245
32.76139,-117.11889
37.9402,-122.63832
37.8952,-122.29247
34.12604,-118.14324
39.08128,-120.98939
36.39496,-120.67406
38.35686,-120.7916
34.86053,-119.20956
38.19242,-122.34053
37.34744,-120.60853
38.04492,-122.12969
37.7442,-122.21386
37.23272,-122.41498
32.64978,-116.24391
34.3075,-119.29345
34.13417,-117.90562
38.23742,-120.73966
33.37475,-118.35368
39.14285,-122.48002
38.03204,-119.67817
34.39916,-118.91815
37.0405,-120.6338
39.06351,-120.54187
36.29272,-117.17728
33.44281,-116.86502
39.10267,-121.58163
37.37077,-120.67631
34.53944,-119.46707
35.20913,-118.82843
38.76296,-122.97305
36.91718,-121.74078
38.83337,-120.12342
39.59266,-122.85917
37.35161,-119.95767
37.35243,-118.46011
33.22115,-116.33418
34.93526,-120.54656
35.74386,-121.31798
38.54018,-121.75607
37.49994,-122.26524
38.17686,-122.41581
37.69604,-121.41217
36.95495,-121.57578
39.87737,-122.95194
